"DataType","SystemName","EventDate","TransactionNumber","CustomerID","CustomerName","TransactionDate","ProductCode","Amount"
"TRADE DETAILS","TST",2022/12/09,"1234500005","Cust001","Customer A",2022/12/08,"PROD-AA",-110.00
"TRADE DETAILS","TST",2022/12/09,"1234500006","Cust001","Customer A",2022/12/08,"PROD-AA",-1200.00
"TRADE DETAILS","TST",2022/12/09,"1234500007","Cust001","Customer A",2022/12/08,"PROD-AA",3700.00
"TRADE DETAILS","DMY",2022/12/09,"1234500017","Cust002","Customer B",2022/12/08,"PROD-AA",-100.00
"TRADE DETAILS","SAMPLE",2022/12/09,"1234500303","Cust003","Customer C",2022/12/08,"PROD-EE",8000.00
"TRADE DETAILS","SAMPLE",2022/12/09,"1234500304","Cust003","Customer C",2022/12/08,"PROD-EE",200.00
"TRADE DETAILS","SAMPLE",2022/12/09,"1234500305","Cust003","Customer C",2022/12/08,"PROD-EE",90.00
"TRADE DETAILS","TST",2022/12/09,"1234500031","Cust001","Customer A",2022/12/08,"PROD-AB",-1000.00
"TRADE DETAILS","TST",2022/12/09,"1234500041","Cust001","Customer A",2022/12/08,"PROD-AB",900.00
"TRADE DETAILS","TST",2022/12/09,"1234500051","Cust001","Customer A",2022/12/08,"PROD-AB",400.00
"TRADE DETAILS","SAMPLE",2022/12/09,"1234500061","Cust003","Customer C",2022/12/08,"PROD-AB",100.00
